date,Inflation
2022-01-01,7.96757361617945
2021-01-01,3.46692585313082
2020-01-01,1.9209680056685
2019-01-01,2.20607305781525
2018-01-01,2.45036243850175
2017-01-01,2.25427651934813
2016-01-01,1.60553917414213
2015-01-01,1.44385719270808
2014-01-01,2.35449052820358
2013-01-01,2.65167342916577
2012-01-01,3.72532666110646
2011-01-01,4.82239636013325
2010-01-01,3.32634463368643
2009-01-01,2.86044855902672
2008-01-01,8.94995335353387
2007-01-01,4.81023704342912
2006-01-01,4.26717463390264
2005-01-01,4.10725070715931
2004-01-01,3.51799903099596
2003-01-01,3.02504526252236
2002-01-01,2.90799857032207
2001-01-01,3.83657262052543
2000-01-01,3.43351563418767
1999-01-01,3.04194667094533
1998-01-01,5.09729149331441
1997-01-01,5.55412988949405
1996-01-01,6.5260956937258
1995-01-01,9.07738095238091
1994-01-01,10.2479355556119
1993-01-01,7.14458706876256
1992-01-01,7.63610852336974
1991-01-01,8.99693873494331
1990-01-01,8.06346090938833
1989-01-01,6.92390503711238
1988-01-01,7.11340652931347
