date,Unemployment Rate
2023-01-01,4.96143065047416
2022-01-01,5.26461597288318
2021-01-01,6.03376129229279
2020-01-01,6.58528753143071
2019-01-01,5.5829801043763
2018-01-01,5.75639790322219
2017-01-01,5.91614141999205
2016-01-01,6.01033134504685
2015-01-01,6.04884902024337
2014-01-01,6.01622857271861
2013-01-01,6.167133899401
2012-01-01,6.22827279799595
2011-01-01,6.24048204330454
2010-01-01,6.38946472723596
2009-01-01,6.51468712239899
2008-01-01,5.93669404614037
2007-01-01,5.89967661605856
2006-01-01,6.10658593841064
2005-01-01,6.36646521138731
2004-01-01,6.44967688536565
2003-01-01,6.5712830050912
2002-01-01,6.46830810118524
2001-01-01,6.22346830929282
2000-01-01,6.13111802117014
1999-01-01,6.26552753794956
1998-01-01,6.12523068040456
1997-01-01,5.95403565786869
1996-01-01,5.90867792430197
1995-01-01,5.82078571324882
1994-01-01,5.66775406003629
1993-01-01,5.41783709780902
1992-01-01,5.14993854227532
1991-01-01,4.99634037189047
1990-01-01,
1989-01-01,
1988-01-01,
1987-01-01,
